City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tarinkot,32.6268,65.8733,27.06,17,0,1.84,AF,1682584722
1,grytviken,-54.2811,-36.5092,1.02,82,58,4.75,GS,1682584723
2,port elizabeth,-33.918,25.5701,23.94,82,20,12.35,ZA,1682584723
3,namtsy,62.7161,129.6658,1.88,91,100,2.79,RU,1682584724
4,argo,37.6333,22.7333,18.21,45,3,1.99,GR,1682584725
5,karratha,-20.7377,116.8463,28.5,50,100,2.64,AU,1682584725
6,port-aux-francais,-49.35,70.2167,4.24,78,90,13.4,TF,1682584726
7,margaret river,-33.95,115.0667,14.38,63,90,6.34,AU,1682584727
8,college,64.8569,-147.8028,0.99,59,75,0.0,US,1682584727
9,puerto natales,-51.7236,-72.4875,4.7,94,96,3.02,CL,1682584728
10,hawaiian paradise park,19.5933,-154.9731,22.8,91,75,1.54,US,1682584728
11,christchurch,-43.5333,172.6333,9.11,80,0,1.03,NZ,1682584439
12,happy valley-goose bay,53.3168,-60.3315,-1.83,100,20,2.06,CA,1682584729
13,blackmans bay,-43.0167,147.3167,16.07,78,14,2.86,AU,1682584730
14,chu,43.5983,73.7614,25.44,22,0,9.15,KZ,1682584731
15,yellowknife,62.456,-114.3525,-0.71,100,100,1.03,CA,1682584731
16,udachny,66.4167,112.4,0.25,58,89,3.38,RU,1682584732
17,nova sintra,14.8667,-24.7167,20.34,74,62,1.77,CV,1682584732
18,edinburgh of the seven seas,-37.0676,-12.3116,16.98,72,65,10.71,SH,1682584733
19,bethel,41.3712,-73.414,9.2,85,100,0.0,US,1682584734
20,hiratacho,35.4333,132.8167,17.98,59,0,3.6,JP,1682584734
21,adamstown,-25.066,-130.1015,23.91,68,100,1.9,PN,1682584735
22,kingston,17.997,-76.7936,26.53,87,20,4.63,JM,1682584735
23,ribeira grande,38.5167,-28.7,17.65,82,40,8.75,PT,1682584736
24,mount gambier,-37.8333,140.7667,15.02,72,0,2.45,AU,1682584736
25,fale old settlement,-9.3852,-171.2468,28.53,72,100,3.53,TK,1682584738
26,taoudenni,22.6783,-3.9836,34.92,7,0,9.29,ML,1682584738
27,akjoujt,19.6969,-14.4164,30.21,26,0,5.4,MR,1682584739
28,betio village,1.358,172.9211,29.02,79,55,7.79,KI,1682584739
29,puerto lempira,15.2667,-83.7667,21.86,87,2,2.39,HN,1682584740
30,wailua homesteads,22.0669,-159.378,22.44,71,40,4.12,US,1682584740
31,yarumal,6.9632,-75.4174,11.14,98,98,0.95,CO,1682584741
32,invercargill,-46.4,168.35,11.68,82,5,0.89,NZ,1682584742
33,novo aripuana,-5.1206,-60.3797,22.54,99,96,0.84,BR,1682584743
34,noumea,-22.2763,166.4572,21.99,83,99,8.21,NC,1682584743
35,bilibino,68.0546,166.4372,-10.85,83,41,3.22,RU,1682584744
36,kapoeta,4.7717,33.5903,32.19,40,41,3.16,SS,1682584745
37,jamestown,42.097,-79.2353,0.8,91,0,1.54,US,1682584745
38,betare oya,5.6,14.0833,26.53,59,98,1.09,CM,1682584746
39,ujae,8.9322,165.7642,27.48,83,25,9.45,MH,1682584747
40,waitangi,-43.9535,-176.5597,11.01,73,98,1.79,NZ,1682584748
41,albany,42.6001,-73.9662,5.24,93,96,0.94,US,1682584717
42,viseu,40.661,-7.9097,21.59,36,99,0.04,PT,1682584749
43,aasiaat,68.7098,-52.8699,-1.73,93,100,2.52,GL,1682584750
44,parras de la fuente,25.4167,-102.1833,16.21,16,29,0.9,MX,1682584751
45,ilulissat,69.2167,-51.1,-0.99,93,100,3.09,GL,1682584751
46,longyearbyen,78.2186,15.6401,-1.09,74,40,2.57,SJ,1682584752
47,alta,69.9689,23.2717,5.11,65,0,5.66,NO,1682584753
48,minas de marcona,-15.2119,-75.1103,15.9,89,45,4.02,PE,1682584753
49,sucua,-2.4667,-78.1667,18.52,96,69,1.44,EC,1682584754
50,kinzan,36.1031,127.4889,17.92,41,4,3.16,KR,1682584755
51,bonga,7.2833,36.2333,21.37,87,55,0.88,ET,1682584755
52,vorgashor,67.5833,63.95,-2.09,84,100,4.7,RU,1682584756
53,papatowai,-46.5619,169.4708,9.23,93,2,1.79,NZ,1682584757
54,yoichi,43.2039,140.7703,8.55,55,1,9.05,JP,1682584757
55,ugoofaaru,5.6667,73.0,29.02,73,80,2.08,MV,1682584758
56,iqaluit,63.7506,-68.5145,-1.15,86,75,4.12,CA,1682584759
57,qamdo,31.1667,97.2333,8.28,22,100,5.8,CN,1682584759
58,vershino-darasunskiy,52.35,115.5167,7.12,21,100,4.76,RU,1682584760
59,stanley,54.868,-1.6985,7.65,81,100,3.09,GB,1682584761
60,yoakum,29.2878,-97.1519,22.97,97,100,1.56,US,1682584761
61,kristiansund,63.1115,7.732,6.03,70,75,4.12,NO,1682584762
62,lebu,-37.6167,-73.65,13.18,85,100,1.3,CL,1682584763
63,angra dos reis,-23.0067,-44.3181,22.14,79,0,1.71,BR,1682584741
64,maitum,6.0392,124.4986,28.8,78,100,1.74,PH,1682584764
65,fort bragg,35.139,-79.006,15.11,97,100,0.0,US,1682584601
66,olonkinbyen,70.9221,-8.7187,-2.25,92,99,9.96,SJ,1682584765
67,swaffham,52.6469,0.6887,11.22,70,0,5.14,GB,1682584766
68,merizo village,13.2658,144.6691,29.31,85,5,9.12,GU,1682584766
